CompanyName,website,vat_found_on_site,hmrc_valid,registered_name,name_match_score
PHONIFY LTD,https://www.phonify.com,,,,
YUNHENG UK LIMITED,https://www.yunheng.com,,,,
LRB LIMITED,https://www.lrb.co.uk,,,,
CHRISTY-ANN LIMITED,https://www.christyann.com,,,,
BANG BANG HERBAL LTD,https://www.bangbangherbal.com,,,,
NTNPLUS LTD,https://www.ntnplus.com,,,,
CUBE COLLECTABLES LTD,https://www.cubecollectables.com,480105129,True,CUBE COLLECTABLES LTD,1.0
DHANALAXMI LIMITED,https://www.dhanalaxmi.com,,,,
SHRI TOYS LIMITED,https://www.shritoys.com,,,,
CUSACK LIMITED,https://www.cusack.co.uk,,,,
SCENTZORA LTD,https://www.scentzora.com,,,,
DRAGO ENTERPRISES LTD,https://www.dragoenterprises.com,,,,
NI GATEWAY LOGISTICS LTD,https://www.nigatewaylogistics.co.uk,,,,
EUSEBIO SPORT UK LIMITED,https://www.eusebiosport.co.uk,,,,
HOME DESIGN DIRECT LTD,https://www.homedesigndirect.com,,,,
MAAKK LTD,https://www.maakk.com,,,,
TRADETRENDZ LIMITED,https://www.tradetrendz.com,,,,
ALL STEEL FOR BUILDING LIMITED,https://www.allsteelforbuilding.com,,,,
PRINT CRAZE LTD,https://www.printcraze.com,,,,
SNOWBIRD FOODS LIMITED,https://www.snowbirdfoods.co.uk,927328019,False,,
M'S BAKERY LTD,https://www.msbakery.co.uk,,,,
WVA LIMITED,https://www.wva.com,,,,
NENETTE CHOCOLATES LTD,https://www.nenettechocolates.co.uk,,,,
"MANSFIELD, POLLARD & CO. LIMITED",https://www.mansfieldpollard.co.uk,,,,
NUTRINESTS LTD,https://www.nutrinests.com,,,,
MOSSBURN DISTILLERS LIMITED,https://www.mossburndistillers.com,,,,
TRANSMIT CONTAINERS LIMITED,https://www.transmitcontainers.co.uk,,,,
ML OFFICIAL LIMITED,https://www.mlofficial.com,,,,
YAMAL LTD,https://www.yamal.co.uk,,,,
ASAIM LTD,https://www.asaim.com,,,,
FLOWTICO LTD,https://www.flowtico.com,,,,
GREY STATE ADVISORS LIMITED,https://www.greystateadvisors.com,,,,
LEWIS FINANCIAL CONSULTING LTD,https://www.lewisfinancialconsulting.com,,,,
CGT CONSULTING GROUP LTD,https://www.cgtconsulting.co.uk,,,,
SMILING LTD,https://www.smiling.co.uk,,,,
SHETLAND WOOL WEEK LIMITED,https://www.shetlandwoolweek.com,,,,
AVO INVENTS LIMITED,https://www.avoinvents.co.uk,,,,
INFRASPACE LTD,https://www.infraspace.co.uk,,,,
COPIA ENERGY LTD,https://www.copiaenergy.co.uk,,,,
THE TAN PLAN LTD,https://www.thetanplan.com,,,,
GROWTH IQ GROUP LTD,https://www.growthiq.com,,,,
JGGJ LIMITED,https://www.jggj.com,,,,
IMMERSIVE INDUSTRY EXPERIENCES LIMITED,https://www.immersiveindustryexperiences.com,,,,
BLAST47 LTD,https://www.blast47.co.uk,,,,
PHANTOM CONSTRUCTION UK LIMITED,https://www.phantomconstruction.co.uk,,,,
LILYASH LIMITED,https://www.lilyash.com,,,,
ELECTROZONE LTD,https://www.electrozone.com,,,,
LANCASTER ENVIRONMENTAL LIMITED,https://www.lancasterenvironmental.co.uk,,,,
JHD ELECTRICAL LTD,https://www.jhdelectrical.com,,,,
FORAN CONSTRUCTION LTD,https://www.foranconstruction.co.uk,,,,
ENERGY PIG LIMITED,https://www.energypig.com,,,,
OPTIMUM CONTROLS SERVICES LIMITED,https://www.optimumcontrolsservices.co.uk,,,,
J & S HALL LIMITED,https://www.jshall.com,,,,
VICARAGE BOUTIQUE HOTEL LTD,https://www.vicarageboutiquehotel.co.uk,,,,
MAGNA WORLD LTD,https://www.magnaworld.com,,,,
SALUT WINES LTD,https://www.salutwines.com,,,,
RETFORD CRAFT HOUSE LIMITED,https://www.retfordcrafthouse.com,,,,
RACK EM UP LTD,https://www.rackemup.co.uk,,,,
DAWN BREAK GUEST HOUSE LIMITED,https://www.dawnbreakguesthouse.com,,,,
LUNIVO PROPERTY LTD,https://www.lunivoproperty.co.uk,,,,
E YOU LIMITED,https://www.eyou.co.uk,,,,
DJ SANTOS LTD,https://www.djsantos.com,,,,
JKD FOODS LIMITED,https://www.jkdfoods.com,,,,
