CompanyName,CompanyNumber,sample_group,SICCode.SicText_1,RegAddress.PostTown,RegAddress.PostCode,guessed_website
PHONIFY LTD,16182452,retail,47421 - Retail sale of mobile telephones,WATFORD,WD17 2BS,https://www.phonify.com
YUNHENG UK LIMITED,12757828,retail,47910 - Retail sale via mail order houses or via Internet,LONDON,SE7 7FS,https://www.yunheng.com
INTERNATIONAL SELLING ON LINE LTD,13855202,retail,47910 - Retail sale via mail order houses or via Internet,LEICESTER,LE5 2RL,
IK NUTRITION LTD,16567430,retail,47910 - Retail sale via mail order houses or via Internet,POOLE,BH16 6FA,
LRB LIMITED,01485413,retail,47610 - Retail sale of books in specialised stores,,WC1A 2HN,https://www.lrb.co.uk
CHRISTY-ANN LIMITED,11361008,retail,"47820 - Retail sale via stalls and markets of textiles, clothing and footwear",CAMBRIDGE,CB21 5HL,https://www.christyann.com
BANG BANG HERBAL LTD,16687780,retail,47750 - Retail sale of cosmetic and toilet articles in specialised stores,HAMPTON,TW12 2EG,https://www.bangbangherbal.com
KYRAGA LTD,16334959,retail,47910 - Retail sale via mail order houses or via Internet,LONDON,W1W 5PF,
MERCY SAMUELSON LIMITED,08955486,retail,47190 - Other retail sale in non-specialised stores,ALTRINCHAM,WA15 7JL,
NTNPLUS LTD,17224396,retail,47890 - Retail sale via stalls and markets of other goods,WAKEFIELD,WF2 9AN,https://www.ntnplus.com
LAFE THREAD LIMITED,16993613,retail,47890 - Retail sale via stalls and markets of other goods,KETTERING,NN16 8XP,
BEDS WEST END LIMITED,13265199,retail,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),HARROGATE,HG1 1NJ,
FRANK LEE & SON LIMITED,01577726,retail,47220 - Retail sale of meat and meat products in specialised stores,LEICESTER,LE1 7RU,
CEYLON PIQUANCY LTD,15240043,retail,47190 - Other retail sale in non-specialised stores,LONDON,SE9 3HZ,
8BITS1BYTE LIMITED,13038664,retail,"47410 - Retail sale of computers, peripheral units and software in specialised stores",OSWESTRY,SY11 4ND,
I&I TRADERS LTD.,16055849,retail,"47820 - Retail sale via stalls and markets of textiles, clothing and footwear",BRISTOL,BS9 3HA,
SHOP LOCALLY TELFORD LTD,11237600,retail,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",TELFORD,TF4 2AH,
SEVERN STORAGE EQUIPMENT LIMITED,07295921,retail,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),STOURPORT ON SEVERN,DY13 0RY,
B KAVINA & CO LTD,14585414,retail,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",DAGENHAM,RM10 7YA,
CUBE COLLECTABLES LTD,15887075,retail,47910 - Retail sale via mail order houses or via Internet,WARRINGTON,WA1 1EN,https://www.cubecollectables.com
DHANALAXMI LIMITED,13305055,retail,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",ALDERSHOT,GU11 1JE,https://www.dhanalaxmi.com
ANGEL SHOULDER SERVICES LIMITED,10270397,retail,"47990 - Other retail sale not in stores, stalls or markets",COVENTRY,CV1 2EL,
SHRI TOYS LIMITED,16820743,retail,47650 - Retail sale of games and toys in specialised stores,WOKING,GU22 9BE,https://www.shritoys.com
J&I ELECTRONICS LIMITED,12828975,retail,47421 - Retail sale of mobile telephones,LONDON,SE18 6EF,
CUSACK LIMITED,16826472,retail,47910 - Retail sale via mail order houses or via Internet,DONCASTER,DN2 5HP,https://www.cusack.co.uk
SAIFDESIGNE LIMITED,15937711,retail,47910 - Retail sale via mail order houses or via Internet,LONDON,EC2A 4NA,
FLORIOLOGIE LIMITED,10323775,retail,47910 - Retail sale via mail order houses or via Internet,DONCASTER,DN10 4NS,
TUSCANY TILES & BATHROOMS LIMITED,NI059958,retail,"47520 - Retail sale of hardware, paints and glass in specialised stores",BALLYMENA,BT42 3AB,
